indicator,data.1992,data.1982,data.2020,data.2021,data.2002,data.1993,data.2008,data.1981,data.1988,data.2001,data.2019,data.2000,data.2016,data.1994,data.2004,data.1983,data.2017,data.1990,data.1991,data.1998,data.2015,data.1984,data.2003,data.1999,data.2007,data.1996,data.2014,data.1985,data.2013,data.2005,data.1987,data.1989,data.2018,data.1995,data.1986,data.2006,data.1997,data.2011,data.2010,data.2009,data.2012,note,REF_AREA
RES.FEMALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,38.3836485487179,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.TOT.FTE,,,,,3601.28941201837,,4182.61613636783,,,3475.52915908565,,3343.79644296061,4330.94797581888,,3716.38188929571,,4289.45728253714,,,,4320.75419577094,,3694.48001635978,,4171.62981111153,,4226.38255328047,,4105.84665089792,4231.88124217004,,,,,,4229.76365456448,,4118.4969287664,4127.64553916449,4247.16161585015,4109.38063053135,,IDN
RES.TOT.ARI.FARMERS,,,,,7.55620942513296,,8.462894070307,,,7.30613655473124,,7.0499608748906,8.67108730418019,,7.67752321880699,,8.60110541705027,,,,8.64254549700152,,7.68978439838436,,8.48012890271285,,8.45056795889163,,8.21103641888233,8.6807820352206,,,,,,8.75654946705134,,8.25548614650096,8.29294103060794,8.55971948859315,8.22484764832246,,IDN
RES.GOV.SHRE,,,,,54.9333484599215,,62.0232467886663,,,53.2130661252868,,51.9871216572338,66.4937828608444,,55.4172618930435,,66.9249933246105,,,,66.1685936337827,,55.4047835921948,,61.6010032969288,,65.34785703267,,64.5625810415703,61.197268912658,,,,,,61.5272251360315,,63.7850506822629,63.355834373997,63.7644846990155,64.2164279888044,,IDN
RES.HE.SHRE,,,,,37.6973103407248,,31.3281163903791,,,38.3246628883422,,38.986429152298,27.1912024696874,,38.0273518290418,,27.1651681270019,,,,27.5593532078763,,38.2973365434356,,32.0272820528859,,28.2873618191775,,28.9710303527584,32.7871448929246,,,,,,32.1953144473825,,29.9602050814091,30.4989631974925,30.2463491654624,29.4188482692661,,IDN
RES.NP.SHRE,,,,,7.36934119935352,,6.64863682095457,,,8.46227098637114,,9.02644919046819,6.31501466946824,,6.55538627791467,,5.90983854838762,,,,6.27205315834094,,6.29787986436951,,6.37171465018521,,6.36478114815246,,6.46638860567131,6.01558619441729,,,,,,6.2774604165862,,6.25474423632802,6.14520242851053,5.98916613552211,6.3647237419295,,IDN
RES.PHD.TOT.FTE,,,,,707.262219617027,,,,,688.416389874705,,668.474498588418,1243.15639221388,,,,1279.3023099255,,,,1184.94204203052,,736.009621211593,,,,1155.89026238477,,1091.09902773735,,,,,,,,,,,,,,IDN
RES.MSC.TOT.FTE,,,,,1509.394118425,,,,,1450.64679548569,,1329.52937539486,1742.49969946598,,,,1748.05337499451,,,,1768.35758578771,,1585.59262609893,,,,1697.91117534856,,1662.32238865802,,,,,,,,,,,,,,IDN
RES.BSC.TOT.FTE,,,,,1384.63307397633,,,,,1336.46597372525,,1345.79256897733,1345.29188413902,,,,1262.10159761713,,,,1367.4545679527,,1372.87776904926,,,,1372.58111554715,,1352.42523450255,,,,,,,,,,,,,,IDN
RES.PHD.TOT.SHRE,,,,,19.6391386167611,,,,,19.8075273825588,,19.9914830340733,28.7040250576741,,,,29.8243396695821,,,,27.4244261150129,,19.9218731175272,,,,27.3493998191806,,26.5742761605267,,,,,,,,,,,,,,IDN
